fecha,diario,categoria,Memoria
20210324,telam,politica,74
20210324,paginadoce,politica,67
20210324,ambito,politica,52
20210324,clarin,politica,33
20210324,paginadoce,deportes,14
20210324,clarin,cultura,13
20210324,paginadoce,espectaculos,12
20210324,paginadoce,rosario12,11
20210324,lanacion,politica,10
20210324,lanacion,cultura,9
20210324,perfil,politica,9
20210324,todonoticias,deportes,8
20210324,perfil,opinion,7
20210324,infobae,cultura,5
20210324,infobae,tendencias,5
20210324,paginadoce,no,5
20210324,clarin,opinion,4
20210324,eldestape,cultura,4
20210324,telam,deportes,4
20210324,telam,cultura,3
20210324,clarin,cartas-al-pais,1
