fecha,diario,categoria,Memoria
20210324,telam,politica,6
20210324,clarin,politica,5
20210324,infobae,politica,3
20210324,ambito,politica,2
20210324,infobae,sociedad,2
20210324,perfil,politica,2
20210324,clarin,cultura,1
20210324,clarin,deportes,1
20210324,clarin,opinion,1
20210324,eldestape,cultura,1
20210324,eldestape,sociedad,1
20210324,infobae,cultura,1
20210324,infobae,espectaculos,1
20210324,lanacion,cultura,1
20210324,paginadoce,politica,1
20210324,perfil,deportes,1
20210324,perfil,opinion,1
20210324,todonoticias,sociedad,1
