diario,categoria,desde,hasta,total,por_dia
infobae,internacional,20210124,20210129,8779,1463.17
popular,varios,20210124,20210129,2950,491.67
lanacion,sociedad,20210124,20210129,1938,323
popular,deportes,20210124,20210129,1571,261.83
lanacion,lifestyle,20210124,20210129,589,98.17
lanacion,internacional,20210124,20210129,255,42.5
lanacion,espectaculos,20210124,20210129,251,41.83
clarin,internacional,20210124,20210129,249,41.5
lanacion,deportes,20210124,20210129,233,38.83
paginadoce,sociedad,20210124,20210129,181,30.17
lanacion,economia,20210124,20210129,159,26.5
clarin,deportes,20210124,20210129,157,26.17
infobae,sociedad,20210124,20210129,145,24.17
lanacion,politica,20210124,20210129,144,24
infobae,economia,20210124,20210129,143,23.83
ambito,sociedad,20210124,20210129,135,22.5
ambito,politica,20210124,20210129,130,21.67
todonoticias,espectaculos,20210124,20210129,128,21.33
clarin,politica,20210124,20210129,127,21.17
eldestape,politica,20210124,20210129,121,20.17
telam,sociedad,20210124,20210129,120,20
paginadoce,politica,20210124,20210129,119,19.83
todonoticias,deportes,20210124,20210129,118,19.67
perfil,politica,20210124,20210129,116,19.33
perfil,economia,20210124,20210129,110,18.33
infobae,espectaculos,20210124,20210129,107,17.83
telam,politica,20210124,20210129,107,17.83
todonoticias,sociedad,20210124,20210129,102,17
infobae,politica,20210124,20210129,101,16.83
telam,internacional,20210124,20210129,97,16.17
paginadoce,rosario12,20210124,20210129,94,15.67
ambito,economia,20210124,20210129,92,15.33
perfil,deportes,20210124,20210129,89,14.83
clarin,sociedad,20210124,20210129,88,14.67
ambito,internacional,20210124,20210129,78,13
paginadoce,deportes,20210124,20210129,78,13
todonoticias,politica,20210124,20210129,78,13
perfil,espectaculos,20210124,20210129,77,12.83
todonoticias,internacional,20210124,20210129,74,12.33
clarin,economia,20210124,20210129,72,12
paginadoce,internacional,20210124,20210129,69,11.5
ambito,finanzas,20210124,20210129,67,11.17
paginadoce,economia,20210124,20210129,63,10.5
infobae,deportes,20210124,20210129,62,10.33
eldestape,economia,20210124,20210129,61,10.17
telam,economia,20210124,20210129,60,10
todonoticias,policiales,20210124,20210129,60,10
todonoticias,salud,20210124,20210129,60,10
eldestape,sociedad,20210124,20210129,58,9.67
perfil,internacional,20210124,20210129,58,9.67
clarin,espectaculos,20210124,20210129,56,9.33
popular,internacionales,20210124,20210129,56,9.33
clarin,rural,20210124,20210129,52,8.67
paginadoce,espectaculos,20210124,20210129,52,8.67
ambito,deportes,20210124,20210129,51,8.5
perfil,sociedad,20210124,20210129,51,8.5
ambito,negocios,20210124,20210129,50,8.33
lanacion,seguridad,20210124,20210129,50,8.33
todonoticias,tecno,20210124,20210129,50,8.33
ambito,espectaculos,20210124,20210129,49,8.17
clarin,tecnologia,20210124,20210129,48,8
todonoticias,economia,20210124,20210129,48,8
todonoticias,estilo,20210124,20210129,46,7.67
popular,general,20210124,20210129,44,7.33
clarin,policiales,20210124,20210129,42,7
telam,deportes,20210124,20210129,41,6.83
infobae,opinion,20210124,20210129,40,6.67
diariodeleuco,todo,20210124,20210129,39,6.5
clarin,opinion,20210124,20210129,38,6.33
telam,espectaculos,20210124,20210129,38,6.33
lanacion,opinion,20210124,20210129,37,6.17
perfil,opinion,20210124,20210129,34,5.67
ambito,nacional,20210124,20210129,33,5.5
infobae,cultura,20210124,20210129,33,5.5
todonoticias,musica,20210124,20210129,33,5.5
popular,policiales,20210124,20210129,30,5
eldestape,deportes,20210124,20210129,29,4.83
telam,latinoamerica,20210124,20210129,28,4.67
lanacion,tecnologia,20210124,20210129,27,4.5
popular,espectaculos,20210124,20210129,26,4.33
popular,politica,20210124,20210129,25,4.17
telam,policiales,20210124,20210129,25,4.17
eldestape,internacional,20210124,20210129,23,3.83
lanacion,propiedades,20210124,20210129,23,3.83
popular,tecnologia,20210124,20210129,23,3.83
todonoticias,autos,20210124,20210129,21,3.5
perfil,salud,20210124,20210129,20,3.33
ambito,lifestyle,20210124,20210129,19,3.17
ambito,opinion,20210124,20210129,19,3.17
telam,conosur,20210124,20210129,19,3.17
clarin,ciudades,20210124,20210129,18,3
clarin,cultura,20210124,20210129,18,3
perfil,cultura,20210124,20210129,18,3
clarin,viajes,20210124,20210129,17,2.83
clarin,revista-n,20210124,20210129,16,2.67
lanacion,ciencia,20210124,20210129,16,2.67
lanacion,cultura,20210124,20210129,16,2.67
popular,economia,20210124,20210129,16,2.67
clarin,buena-vida,20210124,20210129,15,2.5
infobae,inhouse,20210124,20210129,15,2.5
perfil,policiales,20210124,20210129,15,2.5
infobae,salud,20210124,20210129,13,2.17
telam,cultura,20210124,20210129,13,2.17
infobae,tendencias,20210124,20210129,12,2
