palabra,freq,por_noticia,diario
coronavirus,10806.00,3.14,La Nación
Formosa,51.00,1.24,Le Doy Mi Palabra
gobierno,49.00,1.20,Le Doy Mi Palabra
presidente,47.00,1.15,Le Doy Mi Palabra
Argentina,3864.00,1.12,La Nación
síntoma,3579.00,1.04,La Nación
departamento,3551.00,1.03,La Nación
ganador,6398.00,0.92,Popular
enero,2961.00,0.86,La Nación
pandemia,2945.00,0.86,La Nación
gobierno,268.00,0.85,El Destape
provincia,2912.00,0.85,La Nación
vacuna,265.00,0.84,El Destape
provincia,34.00,0.83,Le Doy Mi Palabra
derecho,33.00,0.80,Le Doy Mi Palabra
foto,744.00,0.80,TN
gobierno,926.00,0.79,Clarín
vacuna,916.00,0.78,Clarín
vacuna,582.00,0.77,Página 12
muertos,2662.00,0.77,La Nación
Salud,2629.00,0.76,La Nación
apuesto,5243.00,0.75,Popular
virus,2581.00,0.75,La Nación
paciente,2556.00,0.74,La Nación
partido,2521.00,0.73,La Nación
cambio,2488.00,0.72,La Nación
gobierno,451.00,0.71,Télam
kilo,4980.00,0.71,Popular
gobierno,532.00,0.71,Página 12
Ministerio,2436.00,0.71,La Nación
dato,2421.00,0.70,La Nación
dificultad,2408.00,0.70,La Nación
criterio,2399.00,0.70,La Nación
presencia,2378.00,0.69,La Nación
cuenta,2338.00,0.68,La Nación
foto,793.00,0.67,Clarín
Instagram,615.00,0.66,TN
base,2285.00,0.66,La Nación
nbsp,27.00,0.66,Le Doy Mi Palabra
gobierno,437.00,0.65,Perfil
vacuna,389.00,0.62,Télam
Carrera,4135.00,0.59,Popular
mts,4135.00,0.59,Popular
apuesta,4135.00,0.59,Popular
peso,4080.00,0.58,Popular
dólar,440.00,0.56,Ámbito
premio,3898.00,0.56,Popular
pandemia,352.00,0.56,Télam
vacuna,5854.00,0.55,Infobae
restricción,5709.00,0.54,Infobae
Argentina,22.00,0.54,Le Doy Mi Palabra
vacuna,348.00,0.52,Perfil
Covid,1777.00,0.52,La Nación
temperatura,1724.00,0.50,La Nación
presidente,570.00,0.48,Clarín
presidente,151.00,0.48,El Destape
lunes,4969.00,0.47,Infobae
diario,19.00,0.46,Le Doy Mi Palabra
test,1582.00,0.46,La Nación
lugar,1580.00,0.46,La Nación
segundo,3194.00,0.46,Popular
viernes,4779.00,0.45,Infobae
hijo,412.00,0.44,TN
funcionario,18.00,0.44,Le Doy Mi Palabra
hijo,18.00,0.44,Le Doy Mi Palabra
momento,403.00,0.44,TN
gobierno,342.00,0.44,Ámbito
partido,3012.00,0.43,Popular
pandemia,290.00,0.43,Perfil
dólar,506.00,0.43,Clarín
pandemia,500.00,0.42,Clarín
distrito,1451.00,0.42,La Nación
dígito,4466.00,0.42,Infobae
semana,4457.00,0.42,Infobae
TERCERO,2912.00,0.42,Popular
cámara,17.00,0.41,Le Doy Mi Palabra
Cambio,17.00,0.41,Le Doy Mi Palabra
fecha,1426.00,0.41,La Nación
Argentina,130.00,0.41,El Destape
presidente,260.00,0.41,Télam
dni,1406.00,0.41,La Nación
provincia,128.00,0.41,El Destape
total,1380.00,0.40,La Nación
carrera,2792.00,0.40,Popular
autoridad,1360.00,0.40,La Nación
Alberto Fernández,16.00,0.39,Le Doy Mi Palabra
enfermo,1321.00,0.38,La Nación
pandemia,283.00,0.38,Página 12
COVID,1291.00,0.38,La Nación
cifras,1276.00,0.37,La Nación
final,2563.00,0.37,Popular
Mendoza,15.00,0.37,Le Doy Mi Palabra
Ciudad,15.00,0.37,Le Doy Mi Palabra
pandemia,15.00,0.37,Le Doy Mi Palabra
dosis,115.00,0.37,El Destape
dólar,114.00,0.36,El Destape
provincia,268.00,0.36,Página 12
México,3782.00,0.36,Infobae
vacuna,328.00,0.35,TN
pandemia,3760.00,0.35,Infobae
yegua,2470.00,0.35,Popular
gobierno,3730.00,0.35,Infobae
coronavirus,220.00,0.35,Télam
dosis,220.00,0.35,Télam
presidente,260.00,0.35,Página 12
aumento,1191.00,0.35,La Nación
Argentina,406.00,0.34,Clarín
gobierno,318.00,0.34,TN
pandemia,108.00,0.34,El Destape
diputado,14.00,0.34,Le Doy Mi Palabra
OMS,1161.00,0.34,La Nación
provincia,211.00,0.33,Télam
definición,1142.00,0.33,La Nación
favor,1141.00,0.33,La Nación
especialista,1136.00,0.33,La Nación
nota,1132.00,0.33,La Nación
residencia,1131.00,0.33,La Nación
correo,1131.00,0.33,La Nación
factor,1130.00,0.33,La Nación
discrepancia,1128.00,0.33,La Nación
monitorear,1128.00,0.33,La Nación
Síntomas,1128.00,0.33,La Nación
relevancia,1128.00,0.33,La Nación
clic,1128.00,0.33,La Nación
contabilización,1128.00,0.33,La Nación
sugerencia,1128.00,0.33,La Nación
alarma,1128.00,0.33,La Nación
detallar,1128.00,0.33,La Nación
lndatalanacion,1128.00,0.33,La Nación
