diario,categoria,desde,hasta,total,por_dia
ambito,deportes,20210201,20210207,85,12.14
ambito,economia,20210201,20210207,94,13.43
ambito,espectaculos,20210201,20210207,50,7.14
ambito,finanzas,20210201,20210207,68,9.71
ambito,internacional,20210201,20210207,60,8.57
ambito,lifestyle,20210201,20210207,5,0.71
ambito,nacional,20210201,20210207,29,4.14
ambito,negocios,20210201,20210207,39,5.57
ambito,novedades-fiscales,20210201,20210207,6,0.86
ambito,opinion,20210201,20210207,17,2.43
ambito,politica,20210201,20210207,171,24.43
ambito,sociedad,20210201,20210207,161,23
clarin,arq,20210201,20210207,4,0.57
clarin,autos,20210201,20210207,12,1.71
clarin,buena-vida,20210201,20210207,18,2.57
clarin,cartas-al-pais,20210201,20210207,6,0.86
clarin,ciudades,20210201,20210207,26,3.71
clarin,cultura,20210201,20210207,18,2.57
clarin,deportes,20210201,20210207,218,31.14
clarin,economia,20210201,20210207,92,13.14
clarin,entremujeres,20210201,20210207,1,0.14
clarin,espectaculos,20210201,20210207,72,10.29
clarin,internacional,20210201,20210207,255,36.43
clarin,opinion,20210201,20210207,48,6.86
clarin,policiales,20210201,20210207,56,8
clarin,politica,20210201,20210207,162,23.14
clarin,revista-n,20210201,20210207,17,2.43
clarin,rural,20210201,20210207,64,9.14
clarin,sociedad,20210201,20210207,109,15.57
clarin,tecnologia,20210201,20210207,48,6.86
clarin,viajes,20210201,20210207,16,2.29
clarin,viva,20210201,20210207,9,1.29
diariodeleuco,editorial,20210201,20210207,6,0.86
diariodeleuco,todo,20210201,20210207,56,8
eldestape,cultura,20210201,20210207,23,3.29
eldestape,deportes,20210201,20210207,37,5.29
eldestape,economia,20210201,20210207,85,12.14
eldestape,internacional,20210201,20210207,17,2.43
eldestape,politica,20210201,20210207,144,20.57
eldestape,sociedad,20210201,20210207,70,10
infobae,campo,20210201,20210207,4,0.57
infobae,cultura,20210201,20210207,22,3.14
infobae,deportes,20210201,20210207,71,10.14
infobae,economia,20210201,20210207,159,22.71
infobae,espectaculos,20210201,20210207,126,18
infobae,inhouse,20210201,20210207,8,1.14
infobae,internacional,20210201,20210207,10438,1491.14
infobae,opinion,20210201,20210207,41,5.86
infobae,politica,20210201,20210207,127,18.14
infobae,salud,20210201,20210207,24,3.43
infobae,sociedad,20210201,20210207,127,18.14
infobae,tendencias,20210201,20210207,14,2
lanacion,autos,20210201,20210207,6,0.86
lanacion,buenos-aires,20210201,20210207,2,0.29
lanacion,ciencia,20210201,20210207,23,3.29
lanacion,comunidad,20210201,20210207,2,0.29
lanacion,cultura,20210201,20210207,29,4.14
lanacion,deportes,20210201,20210207,328,46.86
lanacion,economia,20210201,20210207,186,26.57
lanacion,espectaculos,20210201,20210207,261,37.29
lanacion,internacional,20210201,20210207,286,40.86
lanacion,lifestyle,20210201,20210207,379,54.14
lanacion,moda-y-belleza,20210201,20210207,2,0.29
lanacion,opinion,20210201,20210207,57,8.14
lanacion,politica,20210201,20210207,161,23
lanacion,propiedades,20210201,20210207,34,4.86
lanacion,salud,20210201,20210207,2,0.29
lanacion,seguridad,20210201,20210207,56,8
lanacion,sociedad,20210201,20210207,1645,235
lanacion,tecnologia,20210201,20210207,29,4.14
lanacion,turismo,20210201,20210207,6,0.86
paginadoce,ciencia,20210201,20210207,2,0.29
paginadoce,cultura,20210201,20210207,1,0.14
paginadoce,deportes,20210201,20210207,84,12
paginadoce,economia,20210201,20210207,67,9.57
paginadoce,espectaculos,20210201,20210207,37,5.29
paginadoce,internacional,20210201,20210207,75,10.71
paginadoce,la ventana,20210201,20210207,2,0.29
paginadoce,las12,20210201,20210207,7,1
paginadoce,no,20210201,20210207,7,1
paginadoce,plastica,20210201,20210207,1,0.14
paginadoce,politica,20210201,20210207,129,18.43
paginadoce,radar,20210201,20210207,7,1
paginadoce,radar libros,20210201,20210207,1,0.14
paginadoce,rosario12,20210201,20210207,97,13.86
paginadoce,sociedad,20210201,20210207,167,23.86
paginadoce,soy,20210201,20210207,1,0.14
paginadoce,universidad,20210201,20210207,1,0.14
perfil,ciencia,20210201,20210207,10,1.43
perfil,cultura,20210201,20210207,8,1.14
perfil,deportes,20210201,20210207,119,17
perfil,economia,20210201,20210207,96,13.71
perfil,espectaculos,20210201,20210207,74,10.57
perfil,internacional,20210201,20210207,63,9
perfil,opinion,20210201,20210207,47,6.71
perfil,policiales,20210201,20210207,16,2.29
perfil,politica,20210201,20210207,141,20.14
perfil,salud,20210201,20210207,15,2.14
perfil,sociedad,20210201,20210207,44,6.29
perfil,tecnologia,20210201,20210207,3,0.43
popular,deportes,20210201,20210207,2675,382.14
popular,economia,20210201,20210207,11,1.57
popular,espectaculos,20210201,20210207,18,2.57
popular,general,20210201,20210207,30,4.29
popular,horoscopo,20210201,20210207,8,1.14
popular,internacionales,20210201,20210207,32,4.57
popular,policiales,20210201,20210207,31,4.43
popular,politica,20210201,20210207,18,2.57
popular,salud,20210201,20210207,5,0.71
popular,tecnologia,20210201,20210207,8,1.14
popular,varios,20210201,20210207,4328,618.29
telam,conosur,20210201,20210207,26,3.71
telam,cultura,20210201,20210207,14,2
telam,deportes,20210201,20210207,106,15.14
telam,economia,20210201,20210207,73,10.43
telam,espectaculos,20210201,20210207,41,5.86
telam,internacional,20210201,20210207,96,13.71
telam,latinoamerica,20210201,20210207,44,6.29
telam,policiales,20210201,20210207,39,5.57
telam,politica,20210201,20210207,129,18.43
