diario,categoria,ursula,femicidio
ambito,espectaculos,0,2
ambito,sociedad,11,14
clarin,cartas-al-pais,5,4
clarin,deportes,6,0
clarin,opinion,3,7
clarin,policiales,25,11
clarin,politica,0,7
clarin,sociedad,103,73
diariodeleuco,editorial,9,10
diariodeleuco,todo,9,0
eldestape,politica,0,9
eldestape,sociedad,49,28
infobae,deportes,6,0
infobae,espectaculos,16,23
infobae,opinion,13,14
infobae,sociedad,81,43
lanacion,seguridad,99,83
paginadoce,las12,3,0
paginadoce,politica,0,5
paginadoce,sociedad,61,110
perfil,opinion,2,5
perfil,policiales,64,36
perfil,sociedad,19,8
popular,policiales,20,24
telam,policiales,67,46
telam,politica,0,7
telam,sociedad,10,11
todonoticias,espectaculos,31,25
todonoticias,internacional,0,6
todonoticias,musica,3,3
todonoticias,opinion,3,1
todonoticias,policiales,144,114
todonoticias,politica,4,0
todonoticias,sociedad,17,18
todonoticias,tecno,5,8
