diario,categoria,ursula,femicidio
ambito,espectaculos,1,1
ambito,sociedad,5,10
clarin,opinion,0,1
clarin,policiales,4,3
clarin,politica,0,3
clarin,sociedad,14,11
diariodeleuco,editorial,0,1
diariodeleuco,todo,4,2
eldestape,politica,2,2
eldestape,sociedad,12,8
infobae,deportes,0,1
infobae,espectaculos,5,5
infobae,opinion,1,1
infobae,sociedad,18,3
lanacion,espectaculos,1,1
lanacion,politica,0,1
lanacion,seguridad,11,25
paginadoce,rosario12,1,0
paginadoce,sociedad,7,8
perfil,espectaculos,2,2
perfil,opinion,1,0
perfil,policiales,13,5
perfil,sociedad,6,3
popular,policiales,2,1
popular,politica,0,1
telam,policiales,13,13
telam,politica,0,1
telam,sociedad,2,0
todonoticias,espectaculos,4,3
todonoticias,musica,1,1
todonoticias,opinion,1,0
todonoticias,policiales,26,14
todonoticias,sociedad,4,4
todonoticias,tecno,1,1
