palabra,freq,diario,por_noticia
coronavirus,20996,La Nación,4.18
restricción,23343,Infobae,1.72
síntoma,7873,La Nación,1.57
departamento,7236,La Nación,1.44
dígito,18263,Infobae,1.35
viernes,16520,Infobae,1.22
Argentina,6123,La Nación,1.22
lunes,16356,Infobae,1.21
presidente,59,Le Doy Mi Palabra,1.18
Salud,5767,La Nación,1.15
muertos,5707,La Nación,1.14
pandemia,5658,La Nación,1.13
paciente,5400,La Nación,1.07
provincia,5325,La Nación,1.06
cambio,5311,La Nación,1.06
Ministerio,5262,La Nación,1.05
dato,5258,La Nación,1.05
Sello,14110,Infobae,1.04
virus,5183,La Nación,1.03
criterio,5159,La Nación,1.03
presencia,5157,La Nación,1.03
dificultad,5146,La Nación,1.02
juez,50,Le Doy Mi Palabra,1.00
base,4888,La Nación,0.97
partido,4855,La Nación,0.97
septiembre,12457,Infobae,0.92
gobierno,294,El Destape,0.90
cuenta,4494,La Nación,0.89
foto,856,TN,0.83
gobierno,41,Le Doy Mi Palabra,0.82
nbsp,38,Le Doy Mi Palabra,0.76
partido,7875,Popular,0.74
vacuna,37,Le Doy Mi Palabra,0.74
Menem,36,Le Doy Mi Palabra,0.72
foto,999,Clarín,0.71
gobierno,985,Clarín,0.70
actividad,9489,Infobae,0.70
calefactor,9130,Infobae,0.67
Carga,9130,Infobae,0.67
Calefactores,9130,Infobae,0.67
semana,9031,Infobae,0.67
ganador,6953,Popular,0.66
apuesto,6918,Popular,0.65
febrero,3262,La Nación,0.65
vacuna,900,Clarín,0.64
Covid,3229,La Nación,0.64
presidente,209,El Destape,0.64
fecha,3177,La Nación,0.63
gobierno,460,Página 12,0.63
Vehículos,8300,Infobae,0.61
precio,200,El Destape,0.61
vacuna,429,Télam,0.61
Cristina,30,Le Doy Mi Palabra,0.60
elección,30,Le Doy Mi Palabra,0.60
distrito,2989,La Nación,0.59
temperatura,2947,La Nación,0.59
gobierno,408,Télam,0.58
cifras,2897,La Nación,0.58
total,2885,La Nación,0.57
lugar,2856,La Nación,0.57
autoridad,2785,La Nación,0.55
aumento,2773,La Nación,0.55
leña,7470,Infobae,0.55
gol,5808,Popular,0.55
NACION,2754,La Nación,0.55
OMS,2748,La Nación,0.55
COVID,2741,La Nación,0.55
enfermo,2740,La Nación,0.55
gobierno,375,Perfil,0.54
kilo,5747,Popular,0.54
presidente,370,Perfil,0.54
presidente,741,Clarín,0.53
dni,2624,La Nación,0.52
especialista,2600,La Nación,0.52
