palabra,freq,diario,por_noticia
febrero,3009,La Nación,0.60
coronavirus,2866,La Nación,0.57
Argentina,2283,La Nación,0.45
Buenos Aires,672,La Nación,0.13
aire,1670,Infobae,0.12
Ginés,6,Le Doy Mi Palabra,0.12
febrero,1619,Infobae,0.12
pase,5,Le Doy Mi Palabra,0.10
Leuco,5,Le Doy Mi Palabra,0.10
coronavirus,108,Clarín,0.08
K,3,Le Doy Mi Palabra,0.06
Cristina,3,Le Doy Mi Palabra,0.06
esposo,3,Le Doy Mi Palabra,0.06
vacuna,3,Le Doy Mi Palabra,0.06
cargo,3,Le Doy Mi Palabra,0.06
Pata,3,Le Doy Mi Palabra,0.06
refuerzo,600,Popular,0.06
calidad,713,Infobae,0.05
Boca,17,El Destape,0.05
vacuna,35,Télam,0.05
coronavirus,16,El Destape,0.05
Condición,653,Infobae,0.05
coronavirus,493,Popular,0.05
Hipódromo,490,Popular,0.05
Febrero,223,La Nación,0.04
River,465,Popular,0.04
ICAP,590,Infobae,0.04
programa,456,Popular,0.04
gobierno,14,El Destape,0.04
Argentina,14,El Destape,0.04
Lorenzo,443,Popular,0.04
defensa,435,Popular,0.04
dólar,545,Infobae,0.04
provincia,13,El Destape,0.04
vacuna,13,El Destape,0.04
coronavirus,28,Télam,0.04
coronavirus,40,TN,0.04
Carlos Menem,40,TN,0.04
recomendados,397,Popular,0.04
inflación,12,El Destape,0.04
pronóstico,176,La Nación,0.04
clima,173,La Nación,0.03
vacuna,48,Clarín,0.03
Salta,172,La Nación,0.03
visita,358,Popular,0.03
Carlos Menem,11,El Destape,0.03
muerte,11,El Destape,0.03
coronavirus,24,Página 12,0.03
Plata,344,Popular,0.03
vacuna,436,Infobae,0.03
Números,335,Popular,0.03
foto,334,Popular,0.03
resultado,327,Popular,0.03
Carlos Menem,43,Clarín,0.03
precio,10,El Destape,0.03
COVID,413,Infobae,0.03
Menem,21,Perfil,0.03
vacuna,22,Ámbito,0.03
Úrsula Bahillo,319,Popular,0.03
Carlos Menem,22,Página 12,0.03
fecha,318,Popular,0.03
vacunación,21,Télam,0.03
Diario,315,Popular,0.03
cotización,399,Infobae,0.03
gobierno,20,Télam,0.03
febrero,9,El Destape,0.03
gobierno,19,Perfil,0.03
febrero,20,Ámbito,0.03
Facundo Campazzo,290,Popular,0.03
Menem,19,Ámbito,0.03
Carlos Menem,18,Perfil,0.03
Justicia,276,Popular,0.03
Huracán,275,Popular,0.03
Vélez,272,Popular,0.03
Menem,18,Télam,0.03
Racing,269,Popular,0.03
domingo,267,Popular,0.03
clase,18,Ámbito,0.02
dólar,18,Ámbito,0.02
Menem,8,El Destape,0.02
candidato,258,Popular,0.02
vacuna,25,TN,0.02
muerte,25,TN,0.02
gobierno,34,Clarín,0.02
clase,17,Télam,0.02
gobierno,17,Ámbito,0.02
vacunación,17,Ámbito,0.02
EEUU,313,Infobae,0.02
pandemia,312,Infobae,0.02
Arsenal,243,Popular,0.02
México,308,Infobae,0.02
Argentina,16,Télam,0.02
presidente,16,Télam,0.02
Juan,113,La Nación,0.02
muerte,298,Infobae,0.02
carrera,233,Popular,0.02
Ciudad,16,Ámbito,0.02
Boca,231,Popular,0.02
Diego Dabove,229,Popular,0.02
febrero,30,Clarín,0.02
Valentín,22,TN,0.02
foto,22,TN,0.02
coronavirus,288,Infobae,0.02
Palermo,225,Popular,0.02
taller,225,Popular,0.02
rosario,223,Popular,0.02
Argentina,15,Ámbito,0.02
Alberto Fernández,15,Página 12,0.02
marcha,215,Popular,0.02
clase,14,Perfil,0.02
River,14,Perfil,0.02
derrota,214,Popular,0.02
Barcelona,213,Popular,0.02
previsión,269,Infobae,0.02
Buenos Aires,14,Télam,0.02
Ariel Holan,206,Popular,0.02
Santos,206,Popular,0.02
Alberto Fernández,20,TN,0.02
River,20,TN,0.02
Argentina,14,Página 12,0.02
inflación,13,Perfil,0.02
Banfield,198,Popular,0.02
dólar,26,Clarín,0.02
hijo,19,TN,0.02
Argentina,19,TN,0.02
semana,13,Télam,0.02
Consejo,13,Télam,0.02
vacunación,6,El Destape,0.02
River,6,El Destape,0.02
problema,6,El Destape,0.02
Consejo,6,El Destape,0.02
Alberto Fernández,6,El Destape,0.02
clase,6,El Destape,0.02
Barcelona,6,El Destape,0.02
Gimnasia,194,Popular,0.02
Rioja,90,La Nación,0.02
clase,25,Clarín,0.02
símbolo,189,Popular,0.02
Bitcoin,13,Ámbito,0.02
River,13,Ámbito,0.02
Consejo,13,Ámbito,0.02
vacunación,18,TN,0.02
Ciudad,18,TN,0.02
vacuna,12,Perfil,0.02
precio,12,Perfil,0.02
partido,87,La Nación,0.02
Argentina,24,Clarín,0.02
general,86,La Nación,0.02
Liniers,180,Popular,0.02
Australia,17,TN,0.02
vip,17,TN,0.02
Isidro,174,Popular,0.02
vacuna,12,Página 12,0.02
femicidio,173,Popular,0.02
sábado,82,La Nación,0.02
huracán,170,Popular,0.02
premio,169,Popular,0.02
folklore,169,Popular,0.02
noche,169,Popular,0.02
pandemia,11,Perfil,0.02
foto,11,Perfil,0.02
vacunación,11,Perfil,0.02
Alberto Fernández,11,Perfil,0.02
Boca,11,Perfil,0.02
gobierno,16,TN,0.02
éxito,164,Popular,0.02
estudiante,164,Popular,0.02
jugador,163,Popular,0.02
justicia,5,El Destape,0.02
Messi,5,El Destape,0.02
