palabra,freq,diario,por_noticia
Argentina,74,casarosada,14.8
presidente,65,casarosada,13
México,61,casarosada,12.2
pandemia,38,casarosada,7.6
vacuna,37,casarosada,7.4
gracia,30,casarosada,6
acuerdo,27,casarosada,5.4
lugar,27,casarosada,5.4
América,23,casarosada,4.6
historia,21,casarosada,4.2
cosa,21,casarosada,4.2
argentinos,20,casarosada,4
hombre,20,casarosada,4
Martín,20,casarosada,4
coronavirus,17170,lanacion,3.68139
momento,18,casarosada,3.6
continente,17,casarosada,3.4
sistema,16,casarosada,3.2
salud,16,casarosada,3.2
ejército,14,casarosada,2.8
negocio,13,casarosada,2.6
Andrés Manuel,12,casarosada,2.4
mujer,12,casarosada,2.4
amigo,12,casarosada,2.4
norte,11,casarosada,2.2
prensa,11,casarosada,2.2
bandera,10,casarosada,2
futuro,10,casarosada,2
igualdad,10,casarosada,2
independencia,10,casarosada,2
gobernador,10,casarosada,2
respirador,10,casarosada,2
sociedad,9,casarosada,1.8
política,9,casarosada,1.8
capitalismo,8,casarosada,1.6
Güemes,8,casarosada,1.6
gobierno,8,casarosada,1.6
Belgrano,8,casarosada,1.6
hospital,8,casarosada,1.6
vacuna,110,diariodeleuco,1.5942
restricción,19215,infobae,1.51849
gobierno,104,diariodeleuco,1.50725
síntoma,6832,lanacion,1.46484
departamento,6567,lanacion,1.40802
oportunidad,7,casarosada,1.4
pueblo,7,casarosada,1.4
crédito,7,casarosada,1.4
fuerza,7,casarosada,1.4
tapaboca,7,casarosada,1.4
ministro,7,casarosada,1.4
FMI,7,casarosada,1.4
Guerrero,7,casarosada,1.4
respuesta,7,casarosada,1.4
López Obrador,7,casarosada,1.4
partido,7,casarosada,1.4
renuncia,7,casarosada,1.4
dinero,7,casarosada,1.4
vacuna,480,eldestape,1.26316
aplauso,6,casarosada,1.2
verdad,6,casarosada,1.2
poder,6,casarosada,1.2
coraje,6,casarosada,1.2
periodista,6,casarosada,1.2
Fondo,6,casarosada,1.2
punto,6,casarosada,1.2
cuidado,6,casarosada,1.2
gente,6,casarosada,1.2
fiscal,6,casarosada,1.2
pie,6,casarosada,1.2
color,6,casarosada,1.2
hecho,6,casarosada,1.2
medio,6,casarosada,1.2
ejemplo,6,casarosada,1.2
Argentina,5573,lanacion,1.1949
dígito,14961,infobae,1.18231
presidente,77,diariodeleuco,1.11594
Salud,5118,lanacion,1.09734
viernes,13631,infobae,1.07721
lunes,13596,infobae,1.07444
muertos,4900,lanacion,1.0506
pandemia,4877,lanacion,1.04567
virus,4700,lanacion,1.00772
provincia,4681,lanacion,1.00364
paciente,4681,lanacion,1.00364
partido,4673,lanacion,1.00193
Iguala,5,casarosada,1
Latinoamérica,5,casarosada,1
contrato,5,casarosada,1
conferencia,5,casarosada,1
esfuerzo,5,casarosada,1
Yapeyú,5,casarosada,1
campaña,5,casarosada,1
tema,5,casarosada,1
vuelta,5,casarosada,1
idea,5,casarosada,1
medida,5,casarosada,1
Cristina,5,casarosada,1
humanidad,5,casarosada,1
general,5,casarosada,1
diversidad,5,casarosada,1
educación,5,casarosada,1
mismo,5,casarosada,1
muerte,5,casarosada,1
unidad,5,casarosada,1
debates,5,casarosada,1
deber,5,casarosada,1
Ministerio,4607,lanacion,0.98778
cambio,4572,lanacion,0.98027
dato,4545,lanacion,0.97449
criterio,4483,lanacion,0.96119
gobierno,365,eldestape,0.96053
dificultad,4467,lanacion,0.95776
presencia,4457,lanacion,0.95562
cuenta,4414,lanacion,0.9464
base,4402,lanacion,0.94383
vip,64,diariodeleuco,0.92754
Sello,11560,infobae,0.91355
vacuna,1168,clarin,0.86969
vacuna,537,telam,0.84834
septiembre,10221,infobae,0.80773
frente,4,casarosada,0.8
delito,4,casarosada,0.8
Hidalgo,4,casarosada,0.8
G20,4,casarosada,0.8
enfermedad,4,casarosada,0.8
gaucho,4,casarosada,0.8
Congreso,4,casarosada,0.8
vacunación,4,casarosada,0.8
Plan,4,casarosada,0.8
voz,4,casarosada,0.8
mérito,4,casarosada,0.8
minuto,4,casarosada,0.8
circunstancia,4,casarosada,0.8
Bicentenario,4,casarosada,0.8
tierra,4,casarosada,0.8
futbol,4,casarosada,0.8
veneno,4,casarosada,0.8
nombre,4,casarosada,0.8
desigual,4,casarosada,0.8
mexicanos,4,casarosada,0.8
pobreza,4,casarosada,0.8
España,4,casarosada,0.8
Salud,4,casarosada,0.8
virus,4,casarosada,0.8
acto,4,casarosada,0.8
motivo,4,casarosada,0.8
edad,4,casarosada,0.8
mes,4,casarosada,0.8
Salud,55,diariodeleuco,0.7971
ministro,54,diariodeleuco,0.78261
Cristina,54,diariodeleuco,0.78261
vacunación,295,eldestape,0.77632
escándalo,53,diariodeleuco,0.76812
vacuna,555,paginadoce,0.73705
foto,964,clarin,0.7178
partido,6786,popular,0.70585
nbsp,47,diariodeleuco,0.68116
gobierno,511,paginadoce,0.67862
febrero,3116,lanacion,0.6681
ministro,253,eldestape,0.66579
gobierno,414,telam,0.65403
vacunación,45,diariodeleuco,0.65217
vacuna,656,todonoticias,0.64886
dinero,44,diariodeleuco,0.63768
actividad,7848,infobae,0.6202
presidente,235,eldestape,0.61842
vacuna,424,perfil,0.59887
gobierno,801,clarin,0.59643
periodista,41,diariodeleuco,0.5942
Calefactores,7480,infobae,0.59112
calefactor,7480,infobae,0.59112
Carga,7480,infobae,0.59112
temperatura,2706,lanacion,0.58019
foto,582,todonoticias,0.57567
semana,7216,infobae,0.57025
fecha,2629,lanacion,0.56368
Salud,214,eldestape,0.56316
