palabra,freq,por_noticia,diario
febrero,2667,0.57,La Nación
coronavirus,2465,0.53,La Nación
Argentina,2290,0.49,La Nación
Buenos Aires,801,0.17,La Nación
vacuna,10,0.14,Le Doy Mi Palabra
vacuna,48,0.13,El Destape
febrero,1361,0.11,Infobae
aire,1361,0.11,Infobae
vip,7,0.10,Le Doy Mi Palabra
gobierno,6,0.09,Le Doy Mi Palabra
vacuna,51,0.08,Télam
vip,29,0.08,El Destape
coronavirus,98,0.07,Clarín
vacunatorio,5,0.07,Le Doy Mi Palabra
vip,69,0.07,TN
Lázaro Báez,4,0.06,Le Doy Mi Palabra
Alberto,4,0.06,Le Doy Mi Palabra
condena,4,0.06,Le Doy Mi Palabra
vacunación,46,0.06,Ámbito
Hipódromo,536,0.06,Popular
vacuna,41,0.05,Ámbito
pronóstico,229,0.05,La Nación
clima,227,0.05,La Nación
calidad,615,0.05,Infobae
coronavirus,48,0.05,TN
gobierno,18,0.05,El Destape
vip,63,0.05,Clarín
programa,442,0.05,Popular
febrero,37,0.05,Ámbito
gobierno,29,0.05,Télam
coronavirus,29,0.05,Télam
vacunación,17,0.04,El Destape
Alberto,17,0.04,El Destape
coronavirus,17,0.04,El Destape
Febrero,208,0.04,La Nación
recomendados,424,0.04,Popular
vacuna,59,0.04,Clarín
Condición,553,0.04,Infobae
ICAP,553,0.04,Infobae
Báez,3,0.04,Le Doy Mi Palabra
Leuco,3,0.04,Le Doy Mi Palabra
Moyano,3,0.04,Le Doy Mi Palabra
oposición,3,0.04,Le Doy Mi Palabra
Covid,3,0.04,Le Doy Mi Palabra
vacunados,3,0.04,Le Doy Mi Palabra
pase,3,0.04,Le Doy Mi Palabra
payasada,3,0.04,Le Doy Mi Palabra
Ciudad,3,0.04,Le Doy Mi Palabra
Números,418,0.04,Popular
Diario,418,0.04,Popular
vip,29,0.04,Perfil
dólar,504,0.04,Infobae
vacuna,27,0.04,Perfil
vacunación,24,0.04,Télam
vacunatorio,38,0.04,TN
victoria,358,0.04,Popular
febrero,14,0.04,El Destape
Macri,14,0.04,El Destape
gobierno,34,0.03,TN
Salta,155,0.03,La Nación
coronavirus,25,0.03,Página 12
fecha,314,0.03,Popular
